  1002.308    529.705   1052.775    234.875    124.468    133.715    120.065     21.215    165.731    153.625    162.637     27.354
   774.808    404.685    801.951    195.224    105.906    123.301    106.716     28.106    148.075    159.293    151.686     27.736
   701.923    370.533    667.940    187.042    103.681    130.959    107.010     34.474    151.476    170.327    154.627     29.775
   653.077    402.803    675.852    189.440    118.165    154.867    112.256     32.589    159.737    174.640    155.315     34.625
   612.308    389.885    658.846    158.654    113.943    155.292    112.132     36.502    157.708    181.953    150.089     29.282
   640.192    361.664    603.324    126.705    116.306    143.620    113.033     32.982    151.766    178.444    145.777     32.272
   565.577    271.649    625.659    119.261    110.819    131.330    104.022     40.445    170.443    197.821    153.116     43.169
   634.423    371.660    617.720    156.893     97.183    114.030     96.038     42.880    164.714    184.910    151.221     42.184
   658.077    430.000    636.786    142.973    117.675    132.341    110.700     35.647    167.297    181.686    155.455     39.893
   800.000    515.274    776.566    223.505    232.216    115.104    220.667     25.466    302.683    157.728    290.289     33.757
   802.885    626.207    801.264    257.192    361.852    125.474    356.053     26.820    431.107    127.043    422.727     29.216
  1014.423    563.840   1005.357    280.693    497.151    118.575    495.597     23.425    573.054    132.453    565.306     28.280
  1541.538    538.546   1520.137    303.641    661.041    179.471    664.693     28.661    764.765    180.566    750.561     36.882
  1874.808    639.748   1908.654    288.073    900.099    278.217    891.043     35.954    984.286    253.814    975.475     46.213
  2320.000    530.751   2262.280    290.682   1155.048    375.096   1130.622     50.539   1258.896    356.502   1230.652     55.531
  2389.423    555.143   2423.654    253.579   1340.239    420.398   1305.741     66.771   1500.580    388.160   1449.884     95.767
  2444.423    494.079   2438.901    229.311   1420.736    462.067   1382.495     73.419   1562.806    400.870   1498.799     81.328
  2303.654    530.868   2354.780    260.068   1367.366    500.740   1291.207     94.302   1376.912    441.763   1336.211    106.991
