0 00 00 1450
0 10 00 1450
0 20 00 1450
0 30 00 1450
0 40 00 1280
0 50 00 1290
1 00 00 1300
1 10 00 1280
1 20 00 1260
1 30 00 1260
1 40 00 1140
1 50 00 1140
2 00 00 1140
2 10 00 1140
2 20 00 1140
2 30 00 1140
2 40 00 1130
2 50 00 1120
3 00 00 1110
3 10 00 1100
3 20 00 1070
3 30 00 1040
3 40 00 1010
3 50 00 980
4 00 00 970
4 10 00 440
4 20 00 430
4 30 00 430
4 40 00 450
4 50 00 460
5 00 00 470
5 10 00 470
5 20 00 480
5 30 00 480
5 40 00 480
5 50 00 500
6 00 00 520
6 10 00 520
6 20 00 520
6 30 00 520
6 40 00 520
6 50 00 540
7 00 00 540
7 10 00 550
7 20 00 550
7 30 00 550
7 40 00 550
7 50 00 560
8 00 00 560
8 10 00 570
8 20 00 600
8 30 00 600
8 40 00 700
8 50 00 700
9 00 00 610
9 10 00 620
9 20 00 620
9 30 00 610
9 40 00 600
9 50 00 610
10 00 00 610
10 10 00 600
10 20 00 1490
10 30 00 1540
10 40 00 1610
10 50 00 910
11 00 00 900
11 10 00 1780
11 20 00 1810
11 30 00 1810
11 40 00 2185
11 50 00 2180
12 00 00 2190
12 10 00 2200
12 20 00 2200
12 30 00 2050
12 40 00 2490
12 50 00 2490
13 00 00 2520
13 10 00 2815
13 20 00 2595
13 30 00 2595
13 40 00 2070
13 50 00 2665
14 00 00 2655
14 10 00 2510
14 20 00 2500
14 30 00 2510
14 40 00 2140
14 50 00 2170
15 00 00 2180
15 10 00 2190
15 20 00 2625
15 30 00 2020
15 40 00 2740
15 50 00 3075
16 00 00 2740
16 10 00 2750
16 20 00 2760
16 30 00 2780
16 40 00 2790
16 50 00 2790
17 00 00 2575
17 10 00 2575
17 20 00 2575
17 30 00 2960
17 40 00 2960
17 50 00 2955
18 00 00 2945
18 10 00 2720
18 20 00 2720
18 30 00 2910
18 40 00 2070
18 50 00 2230
19 00 00 2230
19 10 00 2540
19 20 00 2545
19 30 00 2365
19 40 00 2360
19 50 00 2665
20 00 00 2530
20 10 00 2450
20 20 00 2440
20 30 00 2640
20 40 00 2640
20 50 00 2620
21 00 00 2590
21 10 00 1450
21 20 00 1460
21 30 00 1460
21 40 00 1470
21 50 00 1470
22 00 00 1470
22 10 00 1490
22 20 00 1500
22 30 00 1955
22 40 00 1500
22 50 00 1320
23 00 00 1320
23 10 00 1340
23 20 00 1360
23 30 00 1370
23 40 00 1380
23 50 00 1380
