18 00 00	2505
18 10 00	2540
18 20 00	2550
18 30 00	2550
18 40 00	2550
18 50 00	2540
19 00 00	2520
19 10 00	2490
19 20 00	2460
19 30 00	2460
19 40 00	2480
19 50 00	2580
20 00 00	2580
20 10 00	2580
20 20 00	2570
20 30 00	2570
20 40 00	2570
20 50 00	2570
21 00 00	2570
21 10 00	2570
21 20 00	2570
21 30 00	2550
21 40 00	2450
21 50 00	2450
22 00 00	2440
22 10 00	2420
22 20 00	2400
22 30 00	1830
22 40 00	1810
22 50 00	1800
23 00 00	1800
23 10 00	1820
23 20 00	840
23 30 00	1985
23 40 00	1980
23 50 00	1980
0 00 00	2050
0 10 00	2060
0 20 00	2060
0 30 00	2050
0 40 00	2040
0 50 00	2030
1 00 00	1520
1 10 00	1520
1 20 00	1530
1 30 00	1540
1 40 00	1550
1 50 00	1550
2 00 00	1550
2 10 00	1550
2 20 00	1550
2 30 00	780
2 40 00	780
2 50 00	830
3 00 00	800
3 10 00	800
3 20 00	1300
3 30 00	1315
3 40 00	1080
3 50 00	1105
4 00 00	1130
4 10 00	440
4 20 00	875
4 30 00	1305
4 40 00	1290
4 50 00	1290
5 00 00	1300
5 10 00	1300
5 20 00	1300
5 30 00	1360
5 40 00	1400
5 50 00	1400
6 00 00	1390
6 10 00	1400
6 20 00	1400
6 30 00	1410
6 40 00	1440
6 50 00	1460
7 00 00	1470
7 10 00	1510
7 20 00	1570
7 30 00	1590
7 40 00	1600
7 50 00	1620
8 00 00	1640
8 10 00	1670
8 20 00	1710
8 30 00	1730
8 40 00	1750
8 50 00	1780
9 00 00	1800
9 10 00	1810
9 20 00	1810
9 30 00	1810
9 40 00	1680
9 50 00	1680
10 00 00	1680
10 10 00	1680
10 20 00	1680
10 30 00	1690
10 40 00	1710
10 50 00	1740
11 00 00	2115
11 10 00	2100
11 20 00	2080
11 30 00	2305
11 40 00	2285
11 50 00	2410
12 00 00	2445
12 10 00	2460
12 20 00	2470
12 30 00	2475
12 40 00	2470
12 50 00	1910
13 00 00	1930
13 10 00	1940
13 20 00	2160
13 30 00	2190
13 40 00	1200
13 50 00	1210
14 00 00	1210
14 10 00	1950
14 20 00	2255
14 30 00	2175
14 40 00	2530
14 50 00	1870
15 00 00	1840
15 10 00	2010
15 20 00	1790
15 30 00	1800
15 40 00	1810
15 50 00	2730
16 00 00	2740
16 10 00	2760
16 20 00	2550
16 30 00	2775
16 40 00	2780
16 50 00	2790
17 00 00	1880
17 10 00	1870
17 20 00	1870
17 30 00	2360
17 40 00	1520
17 50 00	2085
18 00 00	2100
