18 00 00	2310
18 10 00	2270
18 20 00	2240
18 30 00	2240
18 40 00	2230
18 50 00	2220
19 00 00	2210
19 10 00	2200
19 20 00	2200
19 30 00	2200
19 40 00	2190
19 50 00	2180
20 00 00	2140
20 10 00	2100
20 20 00	2070
20 30 00	2060
20 40 00	2000
20 50 00	1990
21 00 00	2000
21 10 00	2010
21 20 00	2000
21 30 00	1990
21 40 00	2000
21 50 00	2000
22 00 00	2000
22 10 00	2010
22 20 00	2040
22 30 00	2120
22 40 00	2130
22 50 00	2130
23 00 00	2130
23 10 00	2100
23 20 00	2080
23 30 00	2080
23 40 00	2080
23 50 00	2080
0 00 00	2070
0 10 00	2070
0 20 00	2060
0 30 00	2050
0 40 00	2040
0 50 00	2030
1 00 00	2020
1 10 00	1900
1 20 00	1900
1 30 00	1990
1 40 00	1980
1 50 00	1870
2 00 00	1880
2 10 00	1890
2 20 00	1900
2 30 00	1930
2 40 00	740
2 50 00	1410
3 00 00	960
3 10 00	960
3 20 00	970
3 30 00	970
3 40 00	260
3 50 00	1055
4 00 00	1055
4 10 00	1060
4 20 00	1070
4 30 00	1080
4 40 00	1090
4 50 00	1085
5 00 00	1075
5 10 00	330
5 20 00	310
5 30 00	310
5 40 00	320
5 50 00	330
6 00 00	330
6 10 00	350
6 20 00	360
6 30 00	360
6 40 00	380
6 50 00	390
7 00 00	400
7 10 00	290
7 20 00	300
7 30 00	310
7 40 00	300
7 50 00	280
8 00 00	260
8 10 00	260
8 20 00	260
8 30 00	260
8 40 00	260
8 50 00	340
9 00 00	340
9 10 00	1395
9 20 00	1255
9 30 00	1275
9 40 00	1290
9 50 00	1295
10 00 00	2270
10 10 00	2250
10 20 00	2250
10 30 00	2250
10 40 00	2240
10 50 00	2240
11 00 00	2230
11 10 00	2210
11 20 00	2190
11 30 00	2160
11 40 00	2150
11 50 00	2150
12 00 00	2150
12 10 00	2170
12 20 00	1870
12 30 00	1850
12 40 00	1840
12 50 00	1830
13 00 00	2290
13 10 00	2300
13 20 00	2300
13 30 00	2280
13 40 00	2190
13 50 00	2190
14 00 00	2240
14 10 00	2290
14 20 00	2300
14 30 00	2310
14 40 00	2310
14 50 00	2310
15 00 00	2300
15 10 00	2560
15 20 00	2520
15 30 00	2490
15 40 00	2420
15 50 00	2410
16 00 00	2400
16 10 00	2380
16 20 00	2350
16 30 00	2340
16 40 00	2330
16 50 00	2320
17 00 00	2330
17 10 00	2340
17 20 00	2360
17 30 00	2380
17 40 00	2210
17 50 00	2500
